id,name,slot_type,rarity,base_atk,base_def,base_hp,base_spd,base_luk,is_exclusive,exclusive_character_id,description
WEAPON_001,"ストリートナイフ",WEAPON,N,5,0,0,0,0,FALSE,,"折りたたみ式の無骨なポケットナイフ。ストリートの若者が携帯している定番モデル。"
WEAPON_002,"9mmハンドガン",WEAPON,N,8,0,0,0,0,FALSE,,"密造ルートで広く出回っている標準的な自動拳銃。スチールブラックの無機質な外観。"
WEAPON_003,"金属バット",WEAPON,N,10,0,0,0,0,FALSE,,"表面に無数の擦り傷や打撃痕が残る、競技用のアルミ製バット。"
WEAPON_004,"サバイバルマチェテ",WEAPON,N,12,0,0,-1,0,FALSE,,"厚みのある鋼鉄で作られた頑丈な鉈。木製のグリップが手になじむ。"
WEAPON_005,"特殊警棒",WEAPON,N,7,3,0,0,0,FALSE,,"金属製の頑丈な伸縮式警棒。滑り止めのラバーグリップが施されている。"
WEAPON_006,"折りたたみカミソリ",WEAPON,N,6,0,0,0,2,FALSE,,"理髪用の折りたたみカミソリ。プラスチック製の黒い柄を持つ。"
WEAPON_007,"鉄パイプ",WEAPON,N,9,0,0,0,0,FALSE,,"解体現場やスクラップ場から拾い集めた、錆びついた中空の鉄製パイプ。"
WEAPON_008,"メリケンサック",WEAPON,N,6,0,0,1,0,FALSE,,"拳の関節に合わせて成形された、無塗装の金属製ナックルダスター。"
WEAPON_009,"錆びたバール",WEAPON,N,11,0,0,-1,0,FALSE,,"解体作業などで使用される、L字型をした赤錆びだらけの重い鉄製バール。"
WEAPON_010,"バスターマグナム",WEAPON,N,13,0,0,-2,0,FALSE,,"特大のシリンダーを持つ回転式ピストル。銃身にヘアライン加工が施されている。"
WEAPON_011,"ダガー",WEAPON,R,15,0,0,0,3,FALSE,,"軍用の無反射コーティングが施された戦闘用短刀。刃を鈍く黒光りさせた外観が特徴。"
WEAPON_012,"カスタムピストル",WEAPON,R,18,0,0,2,0,FALSE,,"スライドを一部肉抜き軽量化し、ドットサイトを取り付けた9mm自動拳銃。"
WEAPON_013,"ソウドオフ・ショットガン",WEAPON,R,25,0,0,-3,0,FALSE,,"銃身とストックを短く切り落とした散弾銃。木製ストックにオイル仕上げが施されている。"
WEAPON_014,"コンバットナイフ",WEAPON,R,16,0,0,0,4,FALSE,,"サバイバル環境向けに作られた極厚の鋼鉄製ナイフ。刃背に鋸歯（セレーション）がある。"
WEAPON_015,"電撃警棒",WEAPON,R,14,0,0,3,0,FALSE,,"先端に放電用の端子を備えた護身用デバイス。側面にイエローの警告色が入っている。"
WEAPON_016,"消音サブマシンガン",WEAPON,R,22,0,0,1,0,FALSE,,"銃身一体型のサプレッサーを備えた自動拳銃。スチールブラックのマットな質感。"
WEAPON_017,"ヘヴィスレッジハマー",WEAPON,R,35,0,0,-5,0,FALSE,,"工事現場等で使用される大型のハンマー。鋳鉄製のヘッドに打撃痕が多数残る。"
WEAPON_018,"カスタムバタフライ",WEAPON,R,17,0,0,0,5,FALSE,,"特徴的な回転アクションで開閉するナイフ。チタンコーティングの虹色の刃を持つ。"
WEAPON_019,"ワイヤーソー",WEAPON,R,19,0,0,2,0,FALSE,,"極細のワイヤーに小さな鋸歯を多数並べたノコギリ。両端に金属リングの持ち手がある。"
WEAPON_020,"競技用コンポジットボウ",WEAPON,R,21,0,0,0,2,FALSE,,"左右に滑車を組み込んだ近代的な弓。マットブラックに塗装された金属フレーム。"
WEAPON_021,"チタンナックルクロー",WEAPON,R,18,0,0,3,0,FALSE,,"拳の先端に鋭利なチタン製の刃を仕込んだアタッチメント。鮮やかなチタンブルー仕上げ。"
WEAPON_022,"オートマチックマグナム",WEAPON,R,28,0,0,-3,0,FALSE,,"自動装填式の大型拳銃。角張った重厚なステンレススチール製のフレーム。"
WEAPON_023,"スタンアサシンダガー",WEAPON,SR,30,0,0,0,5,FALSE,,"グリップに隠されたバッテリーから超高電圧を刃先に送る暗殺用短刀。"
WEAPON_024,"消音サプレッサーSMG",WEAPON,SR,35,0,0,5,0,FALSE,,"特殊部隊向けにカスタムされた消音サブマシンガン。俊敏な立ち回りを阻害しない。"
